"Sex","Age, 31 December","Periods","Deaths (aantal)"
"Total male and female","Total","2017","150,214"
"Total male and female","Total","2018","153,363"
"Total male and female","Total","2019*","151,793"
"Total male and female","Total","2020 week 1 (5 days)*","2,242"
"Total male and female","Total","2020 week 2*","3,364"
"Total male and female","Total","2020 week 3*","3,152"
"Total male and female","Total","2020 week 4*","3,041"
"Total male and female","Total","2020 week 5*","3,158"
"Total male and female","Total","2020 week 6*","3,188"
"Total male and female","Total","2020 week 7*","3,195"
"Total male and female","Total","2020 week 8*","2,955"
"Total male and female","Total","2020 week 9*","3,088"
"Total male and female","Total","2020 week 10*","3,093"
"Total male and female","Total","2020 week 11*","3,213"
"Total male and female","Total","2020 week 12*","3,596"
"Total male and female","Total","2020 week 13*","4,438"
"Total male and female","Total","2020 week 14*","5,068"
"Total male and female","Total","2020 week 15*","4,937"
"Total male and female","Total","2020 week 16*","4,313"
"Total male and female","0 to 64 years","2017","21,694"
"Total male and female","0 to 64 years","2018","21,568"
"Total male and female","0 to 64 years","2019*","20,889"
"Total male and female","0 to 64 years","2020 week 1 (5 days)*","271"
"Total male and female","0 to 64 years","2020 week 2*","432"
"Total male and female","0 to 64 years","2020 week 3*","416"
"Total male and female","0 to 64 years","2020 week 4*","352"
"Total male and female","0 to 64 years","2020 week 5*","447"
"Total male and female","0 to 64 years","2020 week 6*","398"
"Total male and female","0 to 64 years","2020 week 7*","408"
"Total male and female","0 to 64 years","2020 week 8*","339"
"Total male and female","0 to 64 years","2020 week 9*","400"
"Total male and female","0 to 64 years","2020 week 10*","387"
"Total male and female","0 to 64 years","2020 week 11*","406"
"Total male and female","0 to 64 years","2020 week 12*","444"
"Total male and female","0 to 64 years","2020 week 13*","493"
"Total male and female","0 to 64 years","2020 week 14*","494"
"Total male and female","0 to 64 years","2020 week 15*","464"
"Total male and female","0 to 64 years","2020 week 16*","425"
"Total male and female","65 to 79 years","2017","44,425"
"Total male and female","65 to 79 years","2018","45,975"
"Total male and female","65 to 79 years","2019*","45,916"
"Total male and female","65 to 79 years","2020 week 1 (5 days)*","631"
"Total male and female","65 to 79 years","2020 week 2*","967"
"Total male and female","65 to 79 years","2020 week 3*","912"
"Total male and female","65 to 79 years","2020 week 4*","934"
"Total male and female","65 to 79 years","2020 week 5*","922"
"Total male and female","65 to 79 years","2020 week 6*","979"
"Total male and female","65 to 79 years","2020 week 7*","937"
"Total male and female","65 to 79 years","2020 week 8*","867"
"Total male and female","65 to 79 years","2020 week 9*","908"
"Total male and female","65 to 79 years","2020 week 10*","885"
"Total male and female","65 to 79 years","2020 week 11*","949"
"Total male and female","65 to 79 years","2020 week 12*","1,075"
"Total male and female","65 to 79 years","2020 week 13*","1,396"
"Total male and female","65 to 79 years","2020 week 14*","1,496"
"Total male and female","65 to 79 years","2020 week 15*","1,421"
"Total male and female","65 to 79 years","2020 week 16*","1,238"
"Total male and female","80 years or older","2017","84,095"
"Total male and female","80 years or older","2018","85,820"
"Total male and female","80 years or older","2019*","84,988"
"Total male and female","80 years or older","2020 week 1 (5 days)*","1,340"
"Total male and female","80 years or older","2020 week 2*","1,965"
"Total male and female","80 years or older","2020 week 3*","1,824"
"Total male and female","80 years or older","2020 week 4*","1,755"
"Total male and female","80 years or older","2020 week 5*","1,789"
"Total male and female","80 years or older","2020 week 6*","1,811"
"Total male and female","80 years or older","2020 week 7*","1,850"
"Total male and female","80 years or older","2020 week 8*","1,749"
"Total male and female","80 years or older","2020 week 9*","1,780"
"Total male and female","80 years or older","2020 week 10*","1,821"
"Total male and female","80 years or older","2020 week 11*","1,858"
"Total male and female","80 years or older","2020 week 12*","2,077"
"Total male and female","80 years or older","2020 week 13*","2,549"
"Total male and female","80 years or older","2020 week 14*","3,078"
"Total male and female","80 years or older","2020 week 15*","3,052"
"Total male and female","80 years or older","2020 week 16*","2,650"
"Male","Total","2017","72,661"
"Male","Total","2018","74,522"
"Male","Total","2019*","74,376"
"Male","Total","2020 week 1 (5 days)*","1,090"
"Male","Total","2020 week 2*","1,676"
"Male","Total","2020 week 3*","1,526"
"Male","Total","2020 week 4*","1,467"
"Male","Total","2020 week 5*","1,573"
"Male","Total","2020 week 6*","1,588"
"Male","Total","2020 week 7*","1,506"
"Male","Total","2020 week 8*","1,481"
"Male","Total","2020 week 9*","1,499"
"Male","Total","2020 week 10*","1,510"
"Male","Total","2020 week 11*","1,595"
"Male","Total","2020 week 12*","1,860"
"Male","Total","2020 week 13*","2,350"
"Male","Total","2020 week 14*","2,657"
"Male","Total","2020 week 15*","2,499"
"Male","Total","2020 week 16*","2,146"
"Male","0 to 64 years","2017","12,556"
"Male","0 to 64 years","2018","12,452"
"Male","0 to 64 years","2019*","12,055"
"Male","0 to 64 years","2020 week 1 (5 days)*","148"
"Male","0 to 64 years","2020 week 2*","253"
"Male","0 to 64 years","2020 week 3*","248"
"Male","0 to 64 years","2020 week 4*","214"
"Male","0 to 64 years","2020 week 5*","277"
"Male","0 to 64 years","2020 week 6*","237"
"Male","0 to 64 years","2020 week 7*","224"
"Male","0 to 64 years","2020 week 8*","190"
"Male","0 to 64 years","2020 week 9*","227"
"Male","0 to 64 years","2020 week 10*","224"
"Male","0 to 64 years","2020 week 11*","248"
"Male","0 to 64 years","2020 week 12*","266"
"Male","0 to 64 years","2020 week 13*","301"
"Male","0 to 64 years","2020 week 14*","288"
"Male","0 to 64 years","2020 week 15*","282"
"Male","0 to 64 years","2020 week 16*","."
"Male","65 to 79 years","2017","25,841"
"Male","65 to 79 years","2018","26,707"
"Male","65 to 79 years","2019*","26,466"
"Male","65 to 79 years","2020 week 1 (5 days)*","381"
"Male","65 to 79 years","2020 week 2*","546"
"Male","65 to 79 years","2020 week 3*","517"
"Male","65 to 79 years","2020 week 4*","536"
"Male","65 to 79 years","2020 week 5*","536"
"Male","65 to 79 years","2020 week 6*","572"
"Male","65 to 79 years","2020 week 7*","524"
"Male","65 to 79 years","2020 week 8*","533"
"Male","65 to 79 years","2020 week 9*","523"
"Male","65 to 79 years","2020 week 10*","502"
"Male","65 to 79 years","2020 week 11*","547"
"Male","65 to 79 years","2020 week 12*","670"
"Male","65 to 79 years","2020 week 13*","836"
"Male","65 to 79 years","2020 week 14*","917"
"Male","65 to 79 years","2020 week 15*","866"
"Male","65 to 79 years","2020 week 16*","."
"Male","80 years or older","2017","34,264"
"Male","80 years or older","2018","35,363"
"Male","80 years or older","2019*","35,855"
"Male","80 years or older","2020 week 1 (5 days)*","561"
"Male","80 years or older","2020 week 2*","877"
"Male","80 years or older","2020 week 3*","761"
"Male","80 years or older","2020 week 4*","717"
"Male","80 years or older","2020 week 5*","760"
"Male","80 years or older","2020 week 6*","779"
"Male","80 years or older","2020 week 7*","758"
"Male","80 years or older","2020 week 8*","758"
"Male","80 years or older","2020 week 9*","749"
"Male","80 years or older","2020 week 10*","784"
"Male","80 years or older","2020 week 11*","800"
"Male","80 years or older","2020 week 12*","924"
"Male","80 years or older","2020 week 13*","1,213"
"Male","80 years or older","2020 week 14*","1,452"
"Male","80 years or older","2020 week 15*","1,351"
"Male","80 years or older","2020 week 16*","."
"Female","Total","2017","77,553"
"Female","Total","2018","78,841"
"Female","Total","2019*","77,417"
"Female","Total","2020 week 1 (5 days)*","1,152"
"Female","Total","2020 week 2*","1,688"
"Female","Total","2020 week 3*","1,626"
"Female","Total","2020 week 4*","1,574"
"Female","Total","2020 week 5*","1,585"
"Female","Total","2020 week 6*","1,600"
"Female","Total","2020 week 7*","1,689"
"Female","Total","2020 week 8*","1,474"
"Female","Total","2020 week 9*","1,589"
"Female","Total","2020 week 10*","1,583"
"Female","Total","2020 week 11*","1,618"
"Female","Total","2020 week 12*","1,736"
"Female","Total","2020 week 13*","2,088"
"Female","Total","2020 week 14*","2,411"
"Female","Total","2020 week 15*","2,438"
"Female","Total","2020 week 16*","2,167"
"Female","0 to 64 years","2017","9,138"
"Female","0 to 64 years","2018","9,116"
"Female","0 to 64 years","2019*","8,834"
"Female","0 to 64 years","2020 week 1 (5 days)*","123"
"Female","0 to 64 years","2020 week 2*","179"
"Female","0 to 64 years","2020 week 3*","168"
"Female","0 to 64 years","2020 week 4*","138"
"Female","0 to 64 years","2020 week 5*","170"
"Female","0 to 64 years","2020 week 6*","161"
"Female","0 to 64 years","2020 week 7*","184"
"Female","0 to 64 years","2020 week 8*","149"
"Female","0 to 64 years","2020 week 9*","173"
"Female","0 to 64 years","2020 week 10*","163"
"Female","0 to 64 years","2020 week 11*","158"
"Female","0 to 64 years","2020 week 12*","178"
"Female","0 to 64 years","2020 week 13*","192"
"Female","0 to 64 years","2020 week 14*","206"
"Female","0 to 64 years","2020 week 15*","182"
"Female","0 to 64 years","2020 week 16*","."
"Female","65 to 79 years","2017","18,584"
"Female","65 to 79 years","2018","19,268"
"Female","65 to 79 years","2019*","19,450"
"Female","65 to 79 years","2020 week 1 (5 days)*","250"
"Female","65 to 79 years","2020 week 2*","421"
"Female","65 to 79 years","2020 week 3*","395"
"Female","65 to 79 years","2020 week 4*","398"
"Female","65 to 79 years","2020 week 5*","386"
"Female","65 to 79 years","2020 week 6*","407"
"Female","65 to 79 years","2020 week 7*","413"
"Female","65 to 79 years","2020 week 8*","334"
"Female","65 to 79 years","2020 week 9*","385"
"Female","65 to 79 years","2020 week 10*","383"
"Female","65 to 79 years","2020 week 11*","402"
"Female","65 to 79 years","2020 week 12*","405"
"Female","65 to 79 years","2020 week 13*","560"
"Female","65 to 79 years","2020 week 14*","579"
"Female","65 to 79 years","2020 week 15*","555"
"Female","65 to 79 years","2020 week 16*","."
"Female","80 years or older","2017","49,831"
"Female","80 years or older","2018","50,457"
"Female","80 years or older","2019*","49,133"
"Female","80 years or older","2020 week 1 (5 days)*","779"
"Female","80 years or older","2020 week 2*","1,088"
"Female","80 years or older","2020 week 3*","1,063"
"Female","80 years or older","2020 week 4*","1,038"
"Female","80 years or older","2020 week 5*","1,029"
"Female","80 years or older","2020 week 6*","1,032"
"Female","80 years or older","2020 week 7*","1,092"
"Female","80 years or older","2020 week 8*","991"
"Female","80 years or older","2020 week 9*","1,031"
"Female","80 years or older","2020 week 10*","1,037"
"Female","80 years or older","2020 week 11*","1,058"
"Female","80 years or older","2020 week 12*","1,153"
"Female","80 years or older","2020 week 13*","1,336"
"Female","80 years or older","2020 week 14*","1,626"
"Female","80 years or older","2020 week 15*","1,701"
"Female","80 years or older","2020 week 16*","."
"Source: CBS."